origin,destination,estimate
Missouri,Arkansas,8714.0
Montana,Arkansas,1334.0
Nebraska,Arkansas,251.0
Nevada,Arkansas,1183.0
New Hampshire,Arkansas,0.0
New Jersey,Arkansas,806.0
New Mexico,Arkansas,396.0
New York,Arkansas,452.0
North Carolina,Arkansas,2433.0
North Dakota,Arkansas,0.0
Ohio,Arkansas,463.0
Oklahoma,Arkansas,3904.0
Oregon,Arkansas,122.0
Pennsylvania,Arkansas,498.0
Rhode Island,Arkansas,0.0
South Carolina,Arkansas,288.0
South Dakota,Arkansas,539.0
Tennessee,Arkansas,2959.0
Texas,Arkansas,13652.0
Utah,Arkansas,362.0
Vermont,Arkansas,0.0
Virginia,Arkansas,659.0
Washington,Arkansas,3093.0
West Virginia,Arkansas,78.0
Wisconsin,Arkansas,661.0
Wyoming,Arkansas,0.0
Puerto Rico,Arkansas,210.0
U.S. Island Area3,Arkansas,0.0
Foreign Country,Arkansas,7954.0
Alabama,California,2123.0
Alaska,California,1210.0
Arizona,California,21152.0
Arkansas,California,2092.0
Colorado,California,14784.0
Connecticut,California,3113.0
Delaware,California,772.0
District of Columbia,California,4590.0
Florida,California,19149.0
Georgia,California,11229.0
Hawaii,California,8094.0
Idaho,California,2646.0
Illinois,California,21982.0
Indiana,California,4531.0
Iowa,California,4250.0
Kansas,California,3207.0
Kentucky,California,2308.0
Louisiana,California,4522.0
Maine,California,1003.0
Maryland,California,10107.0
Massachusetts,California,10101.0
Michigan,California,12054.0
Minnesota,California,2705.0
Mississippi,California,3133.0
Missouri,California,6400.0
Montana,California,656.0
Nebraska,California,2606.0
Nevada,California,22218.0
New Hampshire,California,1202.0
New Jersey,California,12458.0
New Mexico,California,4784.0
New York,California,35062.0
North Carolina,California,8924.0
North Dakota,California,10.0
Ohio,California,7434.0
Oklahoma,California,2541.0
Oregon,California,22162.0
Pennsylvania,California,8730.0
Rhode Island,California,1050.0
South Carolina,California,5346.0
South Dakota,California,629.0
Tennessee,California,5343.0
Texas,California,38732.0
Utah,California,10939.0
Vermont,California,1012.0
Virginia,California,15837.0
Washington,California,32218.0
West Virginia,California,1125.0
Wisconsin,California,2634.0
Wyoming,California,1166.0
Puerto Rico,California,1119.0
U.S. Island Area3,California,1053.0
Foreign Country,California,313560.0
Alabama,Colorado,3745.0
Alaska,Colorado,1452.0
Arizona,Colorado,12378.0
Arkansas,Colorado,1435.0
California,Colorado,26148.0
Connecticut,Colorado,1875.0
Delaware,Colorado,120.0
District of Columbia,Colorado,1319.0
Florida,Colorado,12786.0
Georgia,Colorado,6522.0
Hawaii,Colorado,3347.0
Idaho,Colorado,3480.0
Illinois,Colorado,8941.0
Indiana,Colorado,2612.0
Iowa,Colorado,3407.0
Kansas,Colorado,4387.0
Kentucky,Colorado,1015.0
Louisiana,Colorado,2227.0
Maine,Colorado,628.0
Maryland,Colorado,3553.0
Massachusetts,Colorado,2885.0
Michigan,Colorado,2922.0
Minnesota,Colorado,3830.0
Mississippi,Colorado,590.0
Missouri,Colorado,4858.0
Montana,Colorado,2294.0
Nebraska,Colorado,4126.0
Nevada,Colorado,1896.0
New Hampshire,Colorado,252.0
New Jersey,Colorado,1154.0
New Mexico,Colorado,6030.0
New York,Colorado,6295.0
North Carolina,Colorado,10351.0
North Dakota,Colorado,582.0
Ohio,Colorado,6289.0
Oklahoma,Colorado,2980.0
Oregon,Colorado,3690.0
Pennsylvania,Colorado,5109.0
Rhode Island,Colorado,0.0
South Carolina,Colorado,1813.0
South Dakota,Colorado,1190.0
Tennessee,Colorado,4670.0
Texas,Colorado,32150.0
Utah,Colorado,4336.0
Vermont,Colorado,327.0
Virginia,Colorado,9719.0
Washington,Colorado,6010.0
West Virginia,Colorado,77.0
Wisconsin,Colorado,2698.0
Wyoming,Colorado,2163.0
Puerto Rico,Colorado,335.0
U.S. Island Area3,Colorado,749.0
Foreign Country,Colorado,34826.0
Alabama,Connecticut,788.0
Alaska,Connecticut,11.0
Arizona,Connecticut,657.0
Arkansas,Connecticut,80.0
California,Connecticut,4972.0
Colorado,Connecticut,591.0
Delaware,Connecticut,32.0
District of Columbia,Connecticut,327.0
