origin,destination,estimate
Louisiana,Kentucky,2343.0
Maine,Kentucky,160.0
Maryland,Kentucky,633.0
Massachusetts,Kentucky,245.0
Michigan,Kentucky,3619.0
Minnesota,Kentucky,229.0
Mississippi,Kentucky,94.0
Missouri,Kentucky,1734.0
Montana,Kentucky,758.0
Nebraska,Kentucky,93.0
Nevada,Kentucky,1445.0
New Hampshire,Kentucky,3667.0
New Jersey,Kentucky,388.0
New Mexico,Kentucky,0.0
New York,Kentucky,2370.0
North Carolina,Kentucky,2452.0
North Dakota,Kentucky,0.0
Ohio,Kentucky,13249.0
Oklahoma,Kentucky,1451.0
Oregon,Kentucky,396.0
Pennsylvania,Kentucky,2282.0
Rhode Island,Kentucky,0.0
South Carolina,Kentucky,1126.0
South Dakota,Kentucky,841.0
Tennessee,Kentucky,14444.0
Texas,Kentucky,5471.0
Utah,Kentucky,259.0
Vermont,Kentucky,0.0
Virginia,Kentucky,2754.0
Washington,Kentucky,4273.0
West Virginia,Kentucky,1565.0
Wisconsin,Kentucky,1427.0
Wyoming,Kentucky,0.0
Puerto Rico,Kentucky,0.0
U.S. Island Area3,Kentucky,0.0
Foreign Country,Kentucky,27761.0
Alabama,Louisiana,2558.0
Alaska,Louisiana,229.0
Arizona,Louisiana,669.0
Arkansas,Louisiana,3228.0
California,Louisiana,2424.0
Colorado,Louisiana,777.0
Connecticut,Louisiana,778.0
Delaware,Louisiana,0.0
District of Columbia,Louisiana,0.0
Florida,Louisiana,4686.0
Georgia,Louisiana,2407.0
Hawaii,Louisiana,313.0
Idaho,Louisiana,1306.0
Illinois,Louisiana,1289.0
Indiana,Louisiana,854.0
Iowa,Louisiana,104.0
Kansas,Louisiana,789.0
Kentucky,Louisiana,207.0
Maine,Louisiana,0.0
Maryland,Louisiana,1289.0
Massachusetts,Louisiana,1025.0
Michigan,Louisiana,257.0
Minnesota,Louisiana,1262.0
Mississippi,Louisiana,7272.0
Missouri,Louisiana,977.0
Montana,Louisiana,458.0
Nebraska,Louisiana,0.0
Nevada,Louisiana,2865.0
New Hampshire,Louisiana,166.0
New Jersey,Louisiana,945.0
New Mexico,Louisiana,88.0
New York,Louisiana,532.0
North Carolina,Louisiana,2261.0
North Dakota,Louisiana,1345.0
Ohio,Louisiana,453.0
Oklahoma,Louisiana,846.0
Oregon,Louisiana,550.0
Pennsylvania,Louisiana,533.0
Rhode Island,Louisiana,0.0
South Carolina,Louisiana,338.0
South Dakota,Louisiana,830.0
Tennessee,Louisiana,1883.0
Texas,Louisiana,18446.0
Utah,Louisiana,179.0
Vermont,Louisiana,0.0
Virginia,Louisiana,1188.0
Washington,Louisiana,752.0
West Virginia,Louisiana,56.0
Wisconsin,Louisiana,50.0
Wyoming,Louisiana,0.0
Puerto Rico,Louisiana,339.0
U.S. Island Area3,Louisiana,0.0
Foreign Country,Louisiana,21811.0
Alabama,Maine,124.0
Alaska,Maine,274.0
Arizona,Maine,375.0
Arkansas,Maine,56.0
California,Maine,1553.0
Colorado,Maine,1178.0
Connecticut,Maine,948.0
Delaware,Maine,226.0
District of Columbia,Maine,0.0
Florida,Maine,4008.0
Georgia,Maine,81.0
Hawaii,Maine,140.0
Idaho,Maine,16.0
Illinois,Maine,1223.0
Indiana,Maine,0.0
Iowa,Maine,0.0
Kansas,Maine,77.0
Kentucky,Maine,48.0
Louisiana,Maine,18.0
Maryland,Maine,700.0
Massachusetts,Maine,5670.0
Michigan,Maine,162.0
Minnesota,Maine,422.0
Mississippi,Maine,654.0
Missouri,Maine,2.0
Montana,Maine,15.0
Nebraska,Maine,30.0
Nevada,Maine,592.0
New Hampshire,Maine,5715.0
New Jersey,Maine,1137.0
New Mexico,Maine,116.0
New York,Maine,2330.0
North Carolina,Maine,609.0
North Dakota,Maine,126.0
Ohio,Maine,755.0
Oklahoma,Maine,0.0
Oregon,Maine,469.0
Pennsylvania,Maine,1454.0
Rhode Island,Maine,528.0
South Carolina,Maine,741.0
South Dakota,Maine,0.0
Tennessee,Maine,467.0
Texas,Maine,1925.0
Utah,Maine,91.0
Vermont,Maine,706.0
Virginia,Maine,1022.0
Washington,Maine,689.0
West Virginia,Maine,586.0
Wisconsin,Maine,31.0
Wyoming,Maine,0.0
Puerto Rico,Maine,0.0
U.S. Island Area3,Maine,75.0
Foreign Country,Maine,4590.0
Alabama,Maryland,431.0
Alaska,Maryland,142.0
Arizona,Maryland,2202.0
Arkansas,Maryland,128.0
California,Maryland,10051.0
Colorado,Maryland,1276.0
Connecticut,Maryland,1908.0
Delaware,Maryland,5245.0
District of Columbia,Maryland,20296.0
Florida,Maryland,8205.0
Georgia,Maryland,3790.0
Hawaii,Maryland,1352.0
Idaho,Maryland,270.0
Illinois,Maryland,1213.0
Indiana,Maryland,1052.0
Iowa,Maryland,1054.0
Kansas,Maryland,217.0
Kentucky,Maryland,603.0
Louisiana,Maryland,486.0
Maine,Maryland,428.0
Massachusetts,Maryland,4455.0
Michigan,Maryland,1079.0
Minnesota,Maryland,1073.0
Mississippi,Maryland,0.0
Missouri,Maryland,1221.0
Montana,Maryland,242.0
Nebraska,Maryland,16.0
Nevada,Maryland,147.0
New Hampshire,Maryland,368.0
New Jersey,Maryland,7170.0
New Mexico,Maryland,1401.0
New York,Maryland,14439.0
North Carolina,Maryland,6501.0
North Dakota,Maryland,0.0
Ohio,Maryland,5145.0
Oklahoma,Maryland,1204.0
Oregon,Maryland,913.0
Pennsylvania,Maryland,16851.0
Rhode Island,Maryland,1253.0
South Carolina,Maryland,3369.0
South Dakota,Maryland,0.0
Tennessee,Maryland,724.0
Texas,Maryland,5592.0
Utah,Maryland,1801.0
Vermont,Maryland,228.0
Virginia,Maryland,21670.0
Washington,Maryland,1526.0
West Virginia,Maryland,3739.0
Wisconsin,Maryland,0.0
Wyoming,Maryland,198.0
Puerto Rico,Maryland,231.0
U.S. Island Area3,Maryland,0.0
Foreign Country,Maryland,46241.0
Alabama,Massachusetts,97.0
Alaska,Massachusetts,0.0
Arizona,Massachusetts,1427.0
Arkansas,Massachusetts,50.0
California,Massachusetts,12160.0
Colorado,Massachusetts,2017.0
Connecticut,Massachusetts,10437.0
Delaware,Massachusetts,397.0
District of Columbia,Massachusetts,2214.0
Florida,Massachusetts,12758.0
Georgia,Massachusetts,2897.0
Hawaii,Massachusetts,109.0
Idaho,Massachusetts,201.0
Illinois,Massachusetts,3187.0
Indiana,Massachusetts,1014.0
Iowa,Massachusetts,227.0
Kansas,Massachusetts,667.0
Kentucky,Massachusetts,0.0
Louisiana,Massachusetts,762.0
Maine,Massachusetts,2391.0
Maryland,Massachusetts,4214.0
Michigan,Massachusetts,1209.0
Minnesota,Massachusetts,772.0
Mississippi,Massachusetts,96.0
Missouri,Massachusetts,703.0
Montana,Massachusetts,395.0
Nebraska,Massachusetts,125.0
Nevada,Massachusetts,1249.0
New Hampshire,Massachusetts,11508.0
New Jersey,Massachusetts,6272.0
New Mexico,Massachusetts,1123.0
New York,Massachusetts,16247.0
North Carolina,Massachusetts,5217.0
North Dakota,Massachusetts,0.0
Ohio,Massachusetts,3804.0
Oklahoma,Massachusetts,78.0
Oregon,Massachusetts,386.0
Pennsylvania,Massachusetts,9392.0
Rhode Island,Massachusetts,7264.0
South Carolina,Massachusetts,1367.0
South Dakota,Massachusetts,64.0
Tennessee,Massachusetts,3996.0
Texas,Massachusetts,6165.0
Utah,Massachusetts,380.0
Vermont,Massachusetts,1430.0
Virginia,Massachusetts,5186.0
Washington,Massachusetts,1523.0
West Virginia,Massachusetts,234.0
Wisconsin,Massachusetts,752.0
Wyoming,Massachusetts,858.0
Puerto Rico,Massachusetts,1605.0
U.S. Island Area3,Massachusetts,440.0
Foreign Country,Massachusetts,67287.0
Alabama,Michigan,718.0
Alaska,Michigan,119.0
Arizona,Michigan,4049.0
Arkansas,Michigan,603.0
California,Michigan,9765.0
Colorado,Michigan,3698.0
Connecticut,Michigan,1192.0
Delaware,Michigan,0.0
District of Columbia,Michigan,262.0
Florida,Michigan,14236.0
Georgia,Michigan,3394.0
Hawaii,Michigan,780.0
Idaho,Michigan,658.0
Illinois,Michigan,11766.0
Indiana,Michigan,11338.0
Iowa,Michigan,719.0
Kansas,Michigan,1077.0
Kentucky,Michigan,2013.0
Louisiana,Michigan,1759.0
Maine,Michigan,270.0
Maryland,Michigan,1565.0
Massachusetts,Michigan,989.0
Minnesota,Michigan,1388.0
Mississippi,Michigan,395.0
Missouri,Michigan,1956.0
Montana,Michigan,301.0
Nebraska,Michigan,176.0
Nevada,Michigan,1412.0
New Hampshire,Michigan,404.0
New Jersey,Michigan,2352.0
New Mexico,Michigan,1056.0
New York,Michigan,4383.0
North Carolina,Michigan,4514.0
North Dakota,Michigan,444.0
Ohio,Michigan,8851.0
Oklahoma,Michigan,1881.0
Oregon,Michigan,2051.0
Pennsylvania,Michigan,3835.0
Rhode Island,Michigan,0.0
South Carolina,Michigan,1608.0
South Dakota,Michigan,869.0
Tennessee,Michigan,2693.0
Texas,Michigan,10011.0
Utah,Michigan,1610.0
Vermont,Michigan,218.0
Virginia,Michigan,2521.0
Washington,Michigan,3409.0
West Virginia,Michigan,517.0
Wisconsin,Michigan,5261.0
Wyoming,Michigan,29.0
Puerto Rico,Michigan,349.0
U.S. Island Area3,Michigan,0.0
Foreign Country,Michigan,56008.0
Alabama,Minnesota,404.0
Alaska,Minnesota,832.0
Arizona,Minnesota,4770.0
Arkansas,Minnesota,920.0
California,Minnesota,4505.0
Colorado,Minnesota,3884.0
Connecticut,Minnesota,794.0
Delaware,Minnesota,72.0
District of Columbia,Minnesota,687.0
Florida,Minnesota,5844.0
Georgia,Minnesota,1898.0
Hawaii,Minnesota,531.0
Idaho,Minnesota,450.0
Illinois,Minnesota,6089.0
Indiana,Minnesota,1370.0
Iowa,Minnesota,5689.0
Kansas,Minnesota,1436.0
Kentucky,Minnesota,1142.0
Louisiana,Minnesota,221.0
Maine,Minnesota,19.0
Maryland,Minnesota,716.0
Massachusetts,Minnesota,952.0
Michigan,Minnesota,2884.0
Mississippi,Minnesota,416.0
Missouri,Minnesota,1950.0
Montana,Minnesota,537.0
Nebraska,Minnesota,2343.0
Nevada,Minnesota,443.0
New Hampshire,Minnesota,352.0
New Jersey,Minnesota,299.0
New Mexico,Minnesota,832.0
New York,Minnesota,1502.0
North Carolina,Minnesota,1350.0
North Dakota,Minnesota,6062.0
Ohio,Minnesota,1063.0
Oklahoma,Minnesota,842.0
Oregon,Minnesota,2320.0
Pennsylvania,Minnesota,1702.0
Rhode Island,Minnesota,381.0
South Carolina,Minnesota,733.0
South Dakota,Minnesota,2867.0
Tennessee,Minnesota,1309.0
Texas,Minnesota,4400.0
Utah,Minnesota,862.0
Vermont,Minnesota,0.0
Virginia,Minnesota,1716.0
Washington,Minnesota,3400.0
West Virginia,Minnesota,158.0
Wisconsin,Minnesota,15404.0
Wyoming,Minnesota,925.0
Puerto Rico,Minnesota,503.0
U.S. Island Area3,Minnesota,133.0
Foreign Country,Minnesota,30194.0
Alabama,Mississippi,6151.0
Alaska,Mississippi,223.0
Arizona,Mississippi,1356.0
Arkansas,Mississippi,1451.0
California,Mississippi,2921.0
Colorado,Mississippi,106.0
Connecticut,Mississippi,99.0
Delaware,Mississippi,611.0
District of Columbia,Mississippi,0.0
Florida,Mississippi,5839.0
Georgia,Mississippi,4016.0
Hawaii,Mississippi,260.0
Idaho,Mississippi,394.0
Illinois,Mississippi,1365.0
Indiana,Mississippi,426.0
Iowa,Mississippi,1090.0
Kansas,Mississippi,49.0
Kentucky,Mississippi,938.0
Louisiana,Mississippi,4518.0
Maine,Mississippi,89.0
Maryland,Mississippi,330.0
Massachusetts,Mississippi,478.0
Michigan,Mississippi,181.0
Minnesota,Mississippi,0.0
Missouri,Mississippi,855.0
Montana,Mississippi,0.0
Nebraska,Mississippi,1199.0
Nevada,Mississippi,1168.0
New Hampshire,Mississippi,0.0
New Jersey,Mississippi,288.0
New Mexico,Mississippi,0.0
New York,Mississippi,467.0
North Carolina,Mississippi,1717.0
North Dakota,Mississippi,0.0
Ohio,Mississippi,1021.0
Oklahoma,Mississippi,0.0
Oregon,Mississippi,124.0
Pennsylvania,Mississippi,402.0
Rhode Island,Mississippi,0.0
South Carolina,Mississippi,985.0
South Dakota,Mississippi,89.0
Tennessee,Mississippi,13818.0
Texas,Mississippi,6880.0
Utah,Mississippi,0.0
Vermont,Mississippi,0.0
Virginia,Mississippi,1028.0
Washington,Mississippi,1135.0
West Virginia,Mississippi,0.0
Wisconsin,Mississippi,543.0
Wyoming,Mississippi,0.0
Puerto Rico,Mississippi,126.0
U.S. Island Area3,Mississippi,417.0
Foreign Country,Mississippi,9764.0
Alabama,Missouri,852.0
Alaska,Missouri,676.0
Arizona,Missouri,5699.0
Arkansas,Missouri,7548.0
California,Missouri,8146.0
Colorado,Missouri,5846.0
Connecticut,Missouri,667.0
Delaware,Missouri,189.0
District of Columbia,Missouri,57.0
Florida,Missouri,5471.0
Georgia,Missouri,5555.0
Hawaii,Missouri,643.0
Idaho,Missouri,780.0
Illinois,Missouri,15326.0
Indiana,Missouri,3104.0
Iowa,Missouri,4155.0
Kansas,Missouri,20692.0
Kentucky,Missouri,2603.0
Louisiana,Missouri,1978.0
Maine,Missouri,148.0
Maryland,Missouri,960.0
Massachusetts,Missouri,596.0
Michigan,Missouri,1714.0
Minnesota,Missouri,1701.0
Mississippi,Missouri,1600.0
Montana,Missouri,579.0
Nebraska,Missouri,636.0
Nevada,Missouri,1656.0
New Hampshire,Missouri,214.0
New Jersey,Missouri,488.0
New Mexico,Missouri,969.0
New York,Missouri,3534.0
North Carolina,Missouri,3214.0
North Dakota,Missouri,398.0
Ohio,Missouri,2885.0
Oklahoma,Missouri,4633.0
Oregon,Missouri,687.0
Pennsylvania,Missouri,3178.0
Rhode Island,Missouri,256.0
South Carolina,Missouri,1226.0
South Dakota,Missouri,429.0
Tennessee,Missouri,4548.0
Texas,Missouri,9322.0
Utah,Missouri,1901.0
Vermont,Missouri,104.0
Virginia,Missouri,2006.0
Washington,Missouri,1615.0
West Virginia,Missouri,89.0
Wisconsin,Missouri,1455.0
Wyoming,Missouri,960.0
Puerto Rico,Missouri,763.0
U.S. Island Area3,Missouri,305.0
Foreign Country,Missouri,22833.0
Alabama,Montana,73.0
Alaska,Montana,549.0
Arizona,Montana,823.0
Arkansas,Montana,416.0
California,Montana,5577.0
Colorado,Montana,2118.0
Connecticut,Montana,0.0
Delaware,Montana,0.0
District of Columbia,Montana,31.0
Florida,Montana,628.0
Georgia,Montana,460.0
Hawaii,Montana,90.0
Idaho,Montana,2361.0
Illinois,Montana,539.0
Indiana,Montana,23.0
Iowa,Montana,438.0
Kansas,Montana,232.0
Kentucky,Montana,218.0
Louisiana,Montana,5.0
Maine,Montana,431.0
Maryland,Montana,189.0
Massachusetts,Montana,111.0
Michigan,Montana,322.0
Minnesota,Montana,1439.0
Mississippi,Montana,36.0
Missouri,Montana,36.0
Nebraska,Montana,620.0
Nevada,Montana,531.0
New Hampshire,Montana,31.0
New Jersey,Montana,51.0
New Mexico,Montana,649.0
New York,Montana,58.0
North Carolina,Montana,0.0
North Dakota,Montana,799.0
Ohio,Montana,79.0
Oklahoma,Montana,257.0
Oregon,Montana,2713.0
Pennsylvania,Montana,847.0
Rhode Island,Montana,0.0
South Carolina,Montana,797.0
South Dakota,Montana,135.0
Tennessee,Montana,79.0
Texas,Montana,2417.0
Utah,Montana,2246.0
Vermont,Montana,143.0
Virginia,Montana,678.0
Washington,Montana,5214.0
West Virginia,Montana,0.0
Wisconsin,Montana,158.0
Wyoming,Montana,1128.0
Puerto Rico,Montana,0.0
U.S. Island Area3,Montana,0.0
Foreign Country,Montana,2597.0
Alabama,Nebraska,666.0
Alaska,Nebraska,107.0
Arizona,Nebraska,1367.0
Arkansas,Nebraska,937.0
California,Nebraska,1904.0
Colorado,Nebraska,5254.0
Connecticut,Nebraska,0.0
Delaware,Nebraska,0.0
District of Columbia,Nebraska,51.0
Florida,Nebraska,2296.0
Georgia,Nebraska,955.0
Hawaii,Nebraska,162.0
Idaho,Nebraska,1128.0
Illinois,Nebraska,2336.0
Indiana,Nebraska,867.0
Iowa,Nebraska,4860.0
Kansas,Nebraska,2179.0
Kentucky,Nebraska,370.0
Louisiana,Nebraska,114.0
Maine,Nebraska,0.0
Maryland,Nebraska,371.0
Massachusetts,Nebraska,80.0
Michigan,Nebraska,454.0
Minnesota,Nebraska,1233.0
Mississippi,Nebraska,32.0
Missouri,Nebraska,2886.0
Montana,Nebraska,250.0
Nevada,Nebraska,560.0
New Hampshire,Nebraska,493.0
New Jersey,Nebraska,49.0
New Mexico,Nebraska,1007.0
New York,Nebraska,711.0
North Carolina,Nebraska,943.0
North Dakota,Nebraska,445.0
Ohio,Nebraska,841.0
Oklahoma,Nebraska,225.0
Oregon,Nebraska,162.0
Pennsylvania,Nebraska,954.0
Rhode Island,Nebraska,0.0
South Carolina,Nebraska,445.0
South Dakota,Nebraska,2767.0
Tennessee,Nebraska,373.0
Texas,Nebraska,2475.0
Utah,Nebraska,301.0
Vermont,Nebraska,0.0
Virginia,Nebraska,2977.0
Washington,Nebraska,825.0
West Virginia,Nebraska,0.0
Wisconsin,Nebraska,438.0
Wyoming,Nebraska,740.0
Puerto Rico,Nebraska,48.0
U.S. Island Area3,Nebraska,0.0
Foreign Country,Nebraska,12859.0
Alabama,Nevada,218.0
Alaska,Nevada,1565.0
Arizona,Nevada,7972.0
Arkansas,Nevada,835.0
California,Nevada,41997.0
Colorado,Nevada,8064.0
Connecticut,Nevada,642.0
Delaware,Nevada,102.0
District of Columbia,Nevada,63.0
Florida,Nevada,5935.0
Georgia,Nevada,997.0
Hawaii,Nevada,4441.0
Idaho,Nevada,2057.0
Illinois,Nevada,970.0
Indiana,Nevada,292.0
Iowa,Nevada,288.0
Kansas,Nevada,639.0
Kentucky,Nevada,188.0
Louisiana,Nevada,1157.0
Maine,Nevada,0.0
Maryland,Nevada,633.0
Massachusetts,Nevada,767.0
Michigan,Nevada,1035.0
Minnesota,Nevada,743.0
Mississippi,Nevada,252.0
Missouri,Nevada,891.0
Montana,Nevada,820.0
Nebraska,Nevada,886.0
New Hampshire,Nevada,155.0
New Jersey,Nevada,1077.0
New Mexico,Nevada,1666.0
New York,Nevada,2582.0
North Carolina,Nevada,1072.0
North Dakota,Nevada,197.0
Ohio,Nevada,3475.0
Oklahoma,Nevada,1672.0
Oregon,Nevada,3604.0
Pennsylvania,Nevada,1868.0
Rhode Island,Nevada,0.0
South Carolina,Nevada,1233.0
South Dakota,Nevada,30.0
Tennessee,Nevada,600.0
Texas,Nevada,5939.0
Utah,Nevada,3776.0
Vermont,Nevada,54.0
Virginia,Nevada,2246.0
Washington,Nevada,5516.0
West Virginia,Nevada,0.0
Wisconsin,Nevada,853.0
Wyoming,Nevada,155.0
Puerto Rico,Nevada,154.0
U.S. Island Area3,Nevada,1475.0
Foreign Country,Nevada,27406.0
Alabama,New Hampshire,1530.0
Alaska,New Hampshire,103.0
Arizona,New Hampshire,702.0
Arkansas,New Hampshire,0.0
California,New Hampshire,1718.0
Colorado,New Hampshire,543.0
Connecticut,New Hampshire,1776.0
Delaware,New Hampshire,0.0
District of Columbia,New Hampshire,80.0
Florida,New Hampshire,1320.0
Georgia,New Hampshire,321.0
Hawaii,New Hampshire,0.0
Idaho,New Hampshire,583.0
Illinois,New Hampshire,95.0
Indiana,New Hampshire,103.0
Iowa,New Hampshire,283.0
Kansas,New Hampshire,118.0
Kentucky,New Hampshire,0.0
Louisiana,New Hampshire,564.0
Maine,New Hampshire,1604.0
Maryland,New Hampshire,705.0
Massachusetts,New Hampshire,16362.0
Michigan,New Hampshire,136.0
Minnesota,New Hampshire,115.0
Mississippi,New Hampshire,477.0
Missouri,New Hampshire,0.0
Montana,New Hampshire,0.0
Nebraska,New Hampshire,0.0
Nevada,New Hampshire,35.0
New Jersey,New Hampshire,395.0
New Mexico,New Hampshire,346.0
New York,New Hampshire,1777.0
North Carolina,New Hampshire,273.0
North Dakota,New Hampshire,0.0
Ohio,New Hampshire,127.0
Oklahoma,New Hampshire,371.0
Oregon,New Hampshire,0.0
Pennsylvania,New Hampshire,1914.0
Rhode Island,New Hampshire,333.0
South Carolina,New Hampshire,61.0
South Dakota,New Hampshire,0.0
Tennessee,New Hampshire,586.0
Texas,New Hampshire,1473.0
Utah,New Hampshire,560.0
Vermont,New Hampshire,1890.0
Virginia,New Hampshire,201.0
Washington,New Hampshire,110.0
West Virginia,New Hampshire,0.0
Wisconsin,New Hampshire,5.0
Wyoming,New Hampshire,0.0
Puerto Rico,New Hampshire,84.0
U.S. Island Area3,New Hampshire,0.0
Foreign Country,New Hampshire,4987.0
Alabama,New Jersey,178.0
Alaska,New Jersey,54.0
Arizona,New Jersey,1140.0
Arkansas,New Jersey,165.0
California,New Jersey,9431.0
Colorado,New Jersey,2332.0
Connecticut,New Jersey,2483.0
Delaware,New Jersey,1291.0
District of Columbia,New Jersey,639.0
Florida,New Jersey,9635.0
Georgia,New Jersey,1865.0
Hawaii,New Jersey,820.0
Idaho,New Jersey,29.0
Illinois,New Jersey,3183.0
Indiana,New Jersey,1114.0
Iowa,New Jersey,42.0
Kansas,New Jersey,442.0
Kentucky,New Jersey,284.0
Louisiana,New Jersey,935.0
Maine,New Jersey,418.0
Maryland,New Jersey,3877.0
Massachusetts,New Jersey,4851.0
Michigan,New Jersey,679.0
Minnesota,New Jersey,354.0
Mississippi,New Jersey,80.0
Missouri,New Jersey,1217.0
Montana,New Jersey,114.0
Nebraska,New Jersey,12.0
Nevada,New Jersey,200.0
New Hampshire,New Jersey,102.0
New Mexico,New Jersey,187.0
New York,New Jersey,55926.0
North Carolina,New Jersey,3461.0
North Dakota,New Jersey,465.0
Ohio,New Jersey,1267.0
Oklahoma,New Jersey,906.0
Oregon,New Jersey,723.0
Pennsylvania,New Jersey,29564.0
Rhode Island,New Jersey,660.0
South Carolina,New Jersey,2619.0
South Dakota,New Jersey,0.0
Tennessee,New Jersey,611.0
Texas,New Jersey,4360.0
Utah,New Jersey,901.0
Vermont,New Jersey,302.0
Virginia,New Jersey,3918.0
Washington,New Jersey,1456.0
West Virginia,New Jersey,704.0
Wisconsin,New Jersey,194.0
Wyoming,New Jersey,145.0
Puerto Rico,New Jersey,662.0
U.S. Island Area3,New Jersey,341.0
Foreign Country,New Jersey,92955.0
Alabama,New Mexico,837.0
Alaska,New Mexico,345.0
Arizona,New Mexico,3535.0
Arkansas,New Mexico,477.0
California,New Mexico,8126.0
Colorado,New Mexico,5853.0
Connecticut,New Mexico,305.0
Delaware,New Mexico,0.0
District of Columbia,New Mexico,1261.0
Florida,New Mexico,1207.0
Georgia,New Mexico,1110.0
Hawaii,New Mexico,449.0
Idaho,New Mexico,1510.0
Illinois,New Mexico,1129.0
Indiana,New Mexico,81.0
Iowa,New Mexico,276.0
Kansas,New Mexico,1500.0
Kentucky,New Mexico,181.0
Louisiana,New Mexico,1443.0
Maine,New Mexico,106.0
Maryland,New Mexico,14.0
Massachusetts,New Mexico,577.0
Michigan,New Mexico,1383.0
Minnesota,New Mexico,275.0
Mississippi,New Mexico,4.0
Missouri,New Mexico,501.0
Montana,New Mexico,1146.0
Nebraska,New Mexico,325.0
Nevada,New Mexico,1243.0
New Hampshire,New Mexico,62.0
New Jersey,New Mexico,641.0
New York,New Mexico,184.0
North Carolina,New Mexico,522.0
North Dakota,New Mexico,362.0
Ohio,New Mexico,1216.0
Oklahoma,New Mexico,296.0
Oregon,New Mexico,733.0
Pennsylvania,New Mexico,678.0
Rhode Island,New Mexico,0.0
South Carolina,New Mexico,627.0
South Dakota,New Mexico,323.0
Tennessee,New Mexico,523.0
Texas,New Mexico,16975.0
Utah,New Mexico,1701.0
Vermont,New Mexico,0.0
Virginia,New Mexico,530.0
Washington,New Mexico,3591.0
West Virginia,New Mexico,0.0
Wisconsin,New Mexico,304.0
Wyoming,New Mexico,206.0
Puerto Rico,New Mexico,0.0
U.S. Island Area3,New Mexico,111.0
Foreign Country,New Mexico,12622.0
Alabama,New York,1389.0
Alaska,New York,445.0
Arizona,New York,3934.0
Arkansas,New York,649.0
California,New York,31097.0
Colorado,New York,5110.0
Connecticut,New York,15165.0
Delaware,New York,1867.0
District of Columbia,New York,3271.0
Florida,New York,24749.0
Georgia,New York,8013.0
Hawaii,New York,1615.0
Idaho,New York,214.0
Illinois,New York,8628.0
Indiana,New York,1347.0
Iowa,New York,1184.0
Kansas,New York,2816.0
Kentucky,New York,2678.0
Louisiana,New York,1574.0
Maine,New York,3190.0
Maryland,New York,8119.0
Massachusetts,New York,21001.0
Michigan,New York,2606.0
Minnesota,New York,1321.0
Mississippi,New York,503.0
Missouri,New York,1433.0
Montana,New York,660.0
Nebraska,New York,432.0
Nevada,New York,1844.0
New Hampshire,New York,1859.0
New Jersey,New York,40474.0
New Mexico,New York,840.0
North Carolina,New York,9000.0
North Dakota,New York,18.0
Ohio,New York,7648.0
Oklahoma,New York,458.0
Oregon,New York,1157.0
Pennsylvania,New York,27603.0
Rhode Island,New York,2073.0
South Carolina,New York,3192.0
South Dakota,New York,100.0
Tennessee,New York,4360.0
Texas,New York,18956.0
Utah,New York,3081.0
Vermont,New York,3926.0
Virginia,New York,11930.0
Washington,New York,6261.0
West Virginia,New York,507.0
Wisconsin,New York,2217.0
Wyoming,New York,321.0
Puerto Rico,New York,3539.0
U.S. Island Area3,New York,245.0
Foreign Country,New York,163636.0
Alabama,North Carolina,5582.0
Alaska,North Carolina,606.0
Arizona,North Carolina,6443.0
Arkansas,North Carolina,891.0
California,North Carolina,21084.0
Colorado,North Carolina,4393.0
Connecticut,North Carolina,4284.0
Delaware,North Carolina,1745.0
District of Columbia,North Carolina,862.0
Florida,North Carolina,39931.0
Georgia,North Carolina,23519.0
Hawaii,North Carolina,1927.0
Idaho,North Carolina,1425.0
Illinois,North Carolina,5380.0
Indiana,North Carolina,2819.0
Iowa,North Carolina,2629.0
Kansas,North Carolina,4842.0
Kentucky,North Carolina,4783.0
Louisiana,North Carolina,3978.0
Maine,North Carolina,1575.0
Maryland,North Carolina,12649.0
Massachusetts,North Carolina,8935.0
Michigan,North Carolina,5380.0
Minnesota,North Carolina,3030.0
Mississippi,North Carolina,881.0
Missouri,North Carolina,2914.0
Montana,North Carolina,1227.0
Nebraska,North Carolina,678.0
Nevada,North Carolina,1907.0
New Hampshire,North Carolina,1347.0
New Jersey,North Carolina,9290.0
New Mexico,North Carolina,1152.0
New York,North Carolina,29175.0
North Dakota,North Carolina,28.0
Ohio,North Carolina,5637.0
Oklahoma,North Carolina,1886.0
Oregon,North Carolina,1467.0
Pennsylvania,North Carolina,13040.0
Rhode Island,North Carolina,1154.0
South Carolina,North Carolina,31358.0
South Dakota,North Carolina,659.0
Tennessee,North Carolina,7905.0
Texas,North Carolina,17335.0
Utah,North Carolina,3032.0
Vermont,North Carolina,796.0
Virginia,North Carolina,25555.0
Washington,North Carolina,4976.0
West Virginia,North Carolina,2038.0
Wisconsin,North Carolina,5106.0
Wyoming,North Carolina,20.0
Puerto Rico,North Carolina,496.0
U.S. Island Area3,North Carolina,592.0
Foreign Country,North Carolina,63852.0
Alabama,North Dakota,1019.0
Alaska,North Dakota,252.0
Arizona,North Dakota,1325.0
Arkansas,North Dakota,0.0
California,North Dakota,1158.0
Colorado,North Dakota,1389.0
Connecticut,North Dakota,0.0
Delaware,North Dakota,0.0
District of Columbia,North Dakota,0.0
Florida,North Dakota,1775.0
Georgia,North Dakota,264.0
Hawaii,North Dakota,0.0
Idaho,North Dakota,134.0
Illinois,North Dakota,2370.0
Indiana,North Dakota,0.0
Iowa,North Dakota,317.0
Kansas,North Dakota,480.0
Kentucky,North Dakota,0.0
Louisiana,North Dakota,11.0
